ID	Area	MinFeret	EQPC
1913	38.116	5.863	6.96640499
1914	0.886	1.191	1.062115924
1915	0.532	0.421	0.823020922
1916	0.709	0.842	0.950119381
1917	0.177	0.421	0.474724551
1918	1.773	1.263	1.502482517
1919	2.305	1.43	1.713130804
1920	0.532	0.842	0.823020922
1921	2.482	1.684	1.777689666
1922	0.177	0.421	0.474724551
1923	0.177	0.421	0.474724551
1924	0.355	0.421	0.672309481
1925	0.177	0.421	0.474724551
1926	7.091	2.526	3.00475317
1927	2.659	1.263	1.839984769
1928	15.956	3.87	4.50730631
1929	0.177	0.421	0.474724551
1930	0.177	0.421	0.474724551
1931	0.886	1.191	1.062115924
1932	0.177	0.421	0.474724551
1933	0.177	0.421	0.474724551
1934	0.355	0.421	0.672309481
1935	0.355	0.421	0.672309481
1936	1.773	1.263	1.502482517
1937	0.709	0.842	0.950119381
1938	2.305	1.465	1.713130804
1939	0.532	0.421	0.823020922
1940	0.177	0.421	0.474724551
1941	1.241	0.842	1.257016418
1942	0.177	0.421	0.474724551
1943	0.355	0.421	0.672309481
1944	1.241	1.263	1.257016418
1945	10.105	3.153	3.586932617
1946	0.355	0.421	0.672309481
1947	0.709	0.893	0.950119381
1948	0.177	0.421	0.474724551
1949	0.177	0.421	0.474724551
1950	0.355	0.595	0.672309481
1951	3.014	1.985	1.95896503
1952	1.773	1.263	1.502482517
1953	0.177	0.421	0.474724551
1954	1.773	1.263	1.502482517
1955	0.177	0.421	0.474724551
1956	0.886	0.893	1.062115924
1957	0.177	0.421	0.474724551
1958	1.418	1.263	1.343671714
1959	0.355	0.421	0.672309481
1960	0.177	0.421	0.474724551
1961	0.355	0.421	0.672309481
1962	1.241	1.263	1.257016418
1963	0.177	0.421	0.474724551
1964	0.355	0.421	0.672309481
1965	0.709	0.421	0.950119381
1966	10.637	2.947	3.680142529
1967	3.546	2.084	2.124831152
1968	16.842	3.597	4.630755922
1969	0.177	0.421	0.474724551
1970	0.177	0.421	0.474724551
1971	0.709	0.842	0.950119381
1972	1.064	0.842	1.16392735
1973	0.177	0.421	0.474724551
1974	0.355	0.421	0.672309481
1975	0.177	0.421	0.474724551
1976	0.177	0.421	0.474724551
1977	0.177	0.421	0.474724551
1978	1.773	1.263	1.502482517
1979	0.355	0.421	0.672309481
1980	10.637	3.595	3.680142529
1981	0.177	0.421	0.474724551
1982	0.177	0.421	0.474724551
1983	0.177	0.421	0.474724551
1984	3.191	1.786	2.015665495
1985	0.886	0.942	1.062115924
1986	6.56	2.919	2.890060798
1987	0.177	0.421	0.474724551
1988	0.886	0.842	1.062115924
1989	0.709	0.893	0.950119381
1990	0.355	0.421	0.672309481
1991	0.355	0.595	0.672309481
1992	1.596	1.285	1.425514052
1993	0.532	0.842	0.823020922
1994	0.532	0.421	0.823020922
1995	0.177	0.421	0.474724551
1996	0.355	0.421	0.672309481
1997	0.177	0.421	0.474724551
1998	0.177	0.421	0.474724551
1999	0.709	0.817	0.950119381
2000	0.177	0.421	0.474724551
2001	0.532	0.753	0.823020922
2002	0.355	0.421	0.672309481
2003	0.886	0.842	1.062115924
2004	0.177	0.421	0.474724551
2005	0.177	0.421	0.474724551
